iter	RMSE
0	3.507160804
1	3.261737487
2	3.040817992
3	2.851565336
4	2.694580531
5	2.551714578
6	2.431609715
7	2.32367606
8	2.235547662
9	2.159709405
10	2.095448181
11	2.033729748
12	1.985338198
13	1.943586883
14	1.910976533
15	1.87797932
16	1.847559062
17	1.820629544
18	1.797853416
19	1.780432322
20	1.763632562
21	1.749636827
22	1.739415436
23	1.72859216
24	1.719268513
25	1.711981247
26	1.706795443
27	1.698638898
28	1.69406158
29	1.688436545
30	1.683363992
31	1.680758082
32	1.678032349
33	1.673276965
34	1.671487139
35	1.6674619
36	1.663026909
37	1.659356725
38	1.656660227
39	1.655132671
40	1.652707732
41	1.649692155
42	1.64890246
43	1.646527541
44	1.645169668
45	1.64253798
46	1.64086179
47	1.639283008
48	1.636960581
49	1.635813206
50	1.634788616
51	1.633850203
52	1.632850882
53	1.631007111
54	1.629040585
55	1.627769028
56	1.626292255
57	1.624558523
58	1.623634015
59	1.623118027
60	1.62177573
61	1.620487359
62	1.617412312
63	1.617162379
64	1.61575192
65	1.614292098
66	1.613625399
67	1.610164236
68	1.60757989
69	1.606071285
70	1.604905625
71	1.601901478
72	1.600296421
73	1.596873275
74	1.596595052
75	1.594226877
76	1.593659917
77	1.593269916
78	1.591067762
79	1.58992236
80	1.589016071
81	1.587956778
82	1.587069995
83	1.586074735
84	1.583651555
85	1.582823604
86	1.581438181
87	1.579423293
88	1.578179441
89	1.576810604
90	1.576129035
91	1.574819006
92	1.574070953
93	1.572419401
94	1.571699201
95	1.57046961
96	1.569101976
97	1.566458642
98	1.564943627
99	1.561711112
100	1.560866154
101	1.559724202
102	1.558333806
103	1.556983593
104	1.555101891
105	1.553737029
106	1.552039992
107	1.550764462
108	1.549321147
109	1.548790728
110	1.548087929
111	1.545702978
112	1.543618706
113	1.542445232
114	1.54169607
115	1.541306159
116	1.540387943
117	1.539917282
118	1.537779515
119	1.536777193
120	1.536486553
121	1.535038194
122	1.533168851
123	1.530939241
124	1.529328206
125	1.5288958
126	1.528056523
127	1.527692886
128	1.52649778
129	1.525122726
130	1.524606941
131	1.524061295
132	1.522710061
133	1.521595593
134	1.521092538
135	1.520753399
136	1.520570034
137	1.519163113
138	1.517570308
139	1.517359751
140	1.516306233
141	1.514818038
142	1.513495948
143	1.513199268
144	1.512255821
145	1.511075453
146	1.510407452
147	1.509330365
148	1.508728015
149	1.507307662
150	1.50649208
151	1.505904875
152	1.50544551
153	1.504984994
154	1.504616822
155	1.503757064
156	1.50130379
157	1.500497722
158	1.500178435
159	1.499709973
160	1.499097502
161	1.49782147
162	1.497298963
163	1.495850485
164	1.495030319
165	1.494665672
166	1.493879636
167	1.492397181
168	1.492011203
169	1.491290829
170	1.490605672
171	1.489990397
172	1.489138314
173	1.487084779
174	1.486497589
175	1.485180854
176	1.484390168
177	1.483448148
178	1.482624204
179	1.482272719
180	1.481220345
181	1.480108256
182	1.479647096
183	1.479218615
184	1.478330833
185	1.477966846
186	1.477018124
187	1.476754149
188	1.476024713
189	1.475129472
190	1.474011742
191	1.473433958
192	1.472191799
193	1.471446133
194	1.470329908
195	1.469639196
196	1.468772856
197	1.467919536
198	1.467447031
199	1.466498211
