iter	Passed	Remaining
0	22	4508
1	58	5799
2	88	5819
3	125	6151
4	160	6268
5	193	6267
6	231	6370
7	265	6362
8	296	6286
9	337	6414
10	367	6308
11	405	6348
12	443	6383
13	487	6479
14	525	6482
15	560	6447
16	599	6450
17	652	6593
18	695	6624
19	741	6669
20	784	6686
21	813	6580
22	847	6522
23	882	6472
24	914	6403
25	950	6359
26	986	6322
27	1024	6291
28	1049	6187
29	1083	6137
30	1118	6097
31	1156	6071
32	1193	6039
33	1225	5982
34	1261	5946
35	1302	5935
36	1338	5898
37	1376	5867
38	1412	5830
39	1453	5812
40	1489	5776
41	1527	5745
42	1573	5744
43	1620	5746
44	1672	5761
45	1714	5739
46	1754	5710
47	1790	5668
48	1825	5624
49	1859	5577
50	1935	5653
51	1979	5634
52	2020	5605
53	2063	5578
54	2108	5558
55	2152	5535
56	2193	5503
57	2250	5509
58	2287	5467
59	2330	5438
60	2372	5406
61	2417	5379
62	2465	5360
63	2485	5282
64	2532	5260
65	2574	5226
66	2619	5200
67	2659	5162
68	2709	5144
69	2765	5136
70	2809	5105
71	2854	5074
72	2895	5037
73	2937	5001
74	2978	4963
75	3026	4938
76	3073	4909
77	3124	4886
78	3167	4851
79	3211	4817
80	3255	4782
81	3305	4757
82	3348	4720
83	3389	4680
84	3440	4654
85	3486	4621
86	3549	4610
87	3590	4569
88	3643	4544
89	3680	4498
90	3728	4466
91	3778	4435
92	3819	4394
93	3868	4362
94	3919	4331
95	3964	4295
96	4024	4272
97	4062	4228
98	4105	4188
99	4158	4158
100	4207	4124
101	4241	4074
102	4280	4030
103	4323	3990
104	4355	3940
105	4395	3897
106	4434	3854
107	4471	3808
108	4503	3759
109	4543	3717
110	4576	3669
111	4621	3631
112	4665	3591
113	4710	3553
114	4764	3521
115	4797	3473
116	4848	3439
117	4886	3395
118	4924	3351
119	4968	3312
120	5007	3269
121	5051	3229
122	5108	3198
123	5167	3167
124	5205	3123
125	5237	3075
126	5272	3030
127	5314	2989
128	5352	2946
129	5389	2902
130	5427	2858
131	5465	2815
132	5501	2771
133	5536	2726
134	5573	2683
135	5608	2639
136	5640	2593
137	5677	2550
138	5712	2506
139	5752	2465
140	5790	2422
141	5826	2379
142	5856	2334
143	5893	2291
144	5932	2250
145	5960	2204
146	6016	2169
147	6052	2126
148	6089	2084
149	6128	2042
150	6161	1999
151	6197	1957
152	6232	1914
153	6263	1871
154	6299	1828
155	6331	1785
156	6369	1744
157	6407	1703
158	6433	1658
159	6465	1616
160	6505	1575
161	6538	1533
162	6580	1493
163	6613	1451
164	6647	1410
165	6683	1368
166	6712	1326
167	6749	1285
168	6788	1245
169	6819	1203
170	6854	1162
171	6892	1122
172	6928	1081
173	6966	1041
174	7004	1000
175	7037	959
176	7068	918
177	7103	878
178	7140	837
179	7193	799
180	7229	758
181	7266	718
182	7297	677
183	7333	637
184	7367	597
185	7396	556
186	7437	517
187	7469	476
188	7510	437
189	7551	397
190	7582	357
191	7621	317
192	7653	277
193	7688	237
194	7723	198
195	7772	158
196	7808	118
197	7843	79
198	7876	39
199	7915	0
